QueryNumber;QueryText
00001;WHAT ARE THE EFFECTS OF CALCIUM ON THE PHYSICAL PROPERTIES OF MUCUSFROM CF PATIENTS 
00002;CAN ONE DISTINGUISH BETWEEN THE EFFECTS OF MUCUS HYPERSECRETION ANDINFECTION ON THE SUBMUCOSAL GLANDS OF THE RESPIRATORY TRACT IN CF? 
00003;HOW ARE SALIVARY GLYCOPROTEINS FROM CF PATIENTS DIFFERENT FROM THOSE OFNORMAL SUBJECTS? 
00004;WHAT IS THE LIPID COMPOSITION OF CF RESPIRATORY SECRETIONS? 
00005;IS CF MUCUS ABNORMAL? 
00006;WHAT IS THE EFFECT OF WATER OR OTHER THERAPEUTIC AGENTS ON THE PHYSICALPROPERTIES (VISCOSITYELASTICITYOF SPUTUM OR BRONCHIAL SECRETIONSFROM CF PATIENTS? 
00007;ARE MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY IN CF PATIENTS AS COMPAREDTO THOSE FROM NORMAL SUBJECTS? 
00008;WHAT HISTOCHEMICAL DIFFERENCES HAVE BEEN DESCRIBED BETWEEN NORMAL ANDCF RESPIRATORY EPITHELIA? 
00009;WHAT IS THE ASSOCIATION BETWEEN LIVER DISEASE (CIRRHOSISAND VITAMIN AMETABOLISM IN CF? 
00010;WHAT IS THE ROLE OF VITAMIN E IN THE THERAPY OF PATIENTS WITH CF? 
00011;WHAT IS THE DIFFERENCE BETWEEN MECONIUM ILEUS AND MECONIUM PLUGSYNDROME? 
00012;WHAT ABNORMALITIES OF AMINO ACID TRANSPORT HAVE BEEN DESCRIBED IN THESMALL BOWEL OF CF PATIENTS? 
00013;WHAT ARE THE CLINICAL OR BIOCHEMICAL FEATURES OF PANCREATITIS IN CFPATIENTS? 
00014;WHAT NON-INVASIVE TESTS CAN BE PERFORMED FOR THE EVALUATION OF EXOCRINEPANCREATIC FUNCTION IN PATIENTS WITH CF? 
00015;WHAT ARE THE HEPATIC COMPLICATIONS OR MANIFESTATIONS OF CF? 
00016;WHAT ARE THE GASTROINTESTINAL COMPLICATIONS OF CF AFTER THE NEONATALPERIOD (EXCLUDE LIVER DISEASE AND MECONIUM ILEUS)? 
00017;WHAT IS THE MOST EFFECTIVE REGIMEN FOR THE USE OF PANCREATIC ENZYMESUPPLEMENTS IN THE TREATMENT OF CF PATIENTS? 
00018;IS DIETARY SUPPLEMENTATION WITH BILE SALTS OF THERAPEUTIC BENEFIT TO CFPATIENTS? 
00019;WHAT COMPLICATIONS OF PANCREATIC ENZYME THERAPY HAVE BEEN REPORTED INCF PATIENTS? 
00020;WHAT IS THE EFFECT OF TREATMENT OF CF PATIENTS WITH ESSENTIAL FATTYACID SUPPLEMENTS? 
00021;DOES PANCREATIC INSUFFICIENCY IN CF PATIENTS AFFECT THEIR ABILITY TOABSORB OR METABOLIZE IRON? 
00022;WHAT IS THE FREQUENCY OF CF IN NON-CAUCASIAN POPULATIONS? 
00023;WHAT CONGENITAL OR HEREDITARY DISEASES OR CONDITIONS HAVE BEEN FOUND INASSOCIATION WITH CF? 
00024;WHAT ARE THE CHARACTERISTICS OF PATIENTS IN WHOM CF IS INCOMPLETELYMANIFESTED? 
00025;WHAT EVIDENCE IS THERE THAT THE GENETIC BASIS FOR CF INVOLVES MORE THANONE GENE? 
00026;WHAT IS THE HETEROZYGOTE ADVANTAGE IN CF? 
00027;WHAT IS THE CONCORDANCE OF CLINICAL OR BIOCHEMICAL MANIFESTATIONS OF CFIN SIBLING PAIRS (BOTH OF WHOM HAVE CF)? 
00028;WHAT IS THE INCIDENCE OF MALE FERTILITY IN CF? 
00029;WHAT IS THE PATHOLOGY OF THE REPRODUCTIVE SYSTEM (MALE OR FEMALEINCF? 
00030;WHAT ARE THE RESULTS OF GENETIC COUNSELING OF FAMILIES OF CHILDREN WITHCF? 
