QueryNumber;DocNumber;DocVotes
1;139;4
31;845;4
30;1224;4
58;577;4
30;911;4
58;588;4
30;880;4
58;590;4
30;586;4
58;591;4
58;614;4
30;433;4
58;769;4
58;778;4
29;1192;4
58;790;4
58;812;4
58;860;4
58;865;4
58;874;4
58;890;4
58;917;4
29;832;4
58;447;4
31;43;4
58;432;4
31;448;4
58;160;4
31;760;4
58;178;4
58;188;4
31;651;4
58;223;4
31;586;4
31;557;4
31;467;4
31;433;4
31;127;4
31;370;4
31;332;4
58;346;4
31;330;4
58;347;4
31;239;4
31;226;4
31;189;4
58;394;4
58;983;4
58;986;4
58;987;4
59;513;4
28;759;4
59;394;4
59;397;4
59;401;4
59;402;4
59;432;4
59;505;4
59;509;4
28;477;4
59;565;4
59;366;4
28;370;4
28;352;4
28;351;4
59;577;4
59;668;4
28;215;4
59;670;4
59;689;4
59;767;4
28;822;4
59;365;4
29;759;4
29;322;4
58;988;4
58;989;4
58;1170;4
58;1171;4
58;1173;4
29;370;4
29;352;4
29;351;4
59;55;4
29;300;4
59;284;4
29;274;4
29;215;4
59;102;4
59;214;4
28;1083;4
59;223;4
59;228;4
59;229;4
59;279;4
31;839;4
31;882;4
17;1101;4
58;80;4
34;846;4
54;812;4
34;817;4
34;795;4
34;773;4
34;721;4
34;638;4
34;637;4
54;819;4
54;904;4
34;471;4
34;465;4
34;404;4
34;403;4
54;964;4
34;261;4
54;1005;4
54;1007;4
54;1048;4
54;1060;4
54;1134;4
34;916;4
54;632;4
54;631;4
54;228;4
37;120;4
54;11;4
37;71;4
54;211;4
37;38;4
37;35;4
37;33;4
54;223;4
37;3;4
54;229;4
34;995;4
54;358;4
54;369;4
35;1109;4
54;382;4
54;401;4
54;402;4
54;432;4
54;485;4
35;210;4
54;1163;4
34;65;4
34;37;4
58;1;4
57;1;4
33;91;4
57;223;4
57;590;4
32;722;4
32;433;4
32;389;4
57;987;4
32;184;4
31;1233;4
33;370;4
58;6;4
58;7;4
31;1084;4
31;1036;4
31;1022;4
31;1020;4
31;999;4
58;62;4
31;938;4
56;767;4
33;403;4
33;1234;4
33;995;4
54;1169;4
33;1186;4
33;1183;4
33;1122;4
33;1113;4
33;1105;4
33;1052;4
55;432;4
33;996;4
33;927;4
33;465;4
33;920;4
33;916;4
55;521;4
55;530;4
33;825;4
55;820;4
33;811;4
33;721;4
33;612;4
59;784;4
59;812;4
27;905;4
59;833;4
21;709;4
21;708;4
65;144;4
65;155;4
65;194;4
65;206;4
21;251;4
65;211;4
21;68;4
65;349;4
20;1215;4
20;1213;4
65;368;4
20;1168;4
20;1115;4
65;370;4
20;1066;4
65;372;4
20;962;4
65;387;4
65;388;4
65;64;4
65;24;4
65;20;4
22;258;4
63;429;4
63;463;4
22;478;4
22;473;4
22;431;4
63;1155;4
