QueryNumber;List
00001;[1, '00484', 0.23201897228835994]
00001;[2, '00526', 0.17276102107183114]
00001;[3, '00957', 0.16998534493294018]
00001;[4, '00437', 0.16619510014598737]
00001;[5, '00741', 0.1661664647942445]
00001;[6, '00533', 0.16098250596631633]
00001;[7, '00827', 0.16088260991353823]
00001;[8, '00498', 0.14204883452295333]
00001;[9, '00441', 0.13704137717667922]
00001;[10, '00461', 0.133987585673299]
00001;[11, '00052', 0.1269724029066141]
00001;[12, '00754', 0.12398070055683598]
00001;[13, '00960', 0.12169138266477272]
00001;[14, '00040', 0.11969719804474574]
00001;[15, '00139', 0.1185153650772004]
00001;[16, '00856', 0.11670583102331081]
00001;[17, '01026', 0.11585475488827983]
00001;[18, '01188', 0.1126489553407949]
00001;[19, '00392', 0.10945332340438828]
00001;[20, '00967', 0.10635646377232384]
00001;[21, '00925', 0.10475915544448983]
00001;[22, '01107', 0.10442333846712347]
00001;[23, '00053', 0.09455206086368474]
00001;[24, '00711', 0.09376593788708867]
00001;[25, '00975', 0.09237782731942006]
00001;[26, '00847', 0.09082226114070945]
00001;[27, '00505', 0.09060756587834468]
00001;[28, '00789', 0.09003822832258654]
00001;[29, '00527', 0.0862146185238574]
00001;[30, '01064', 0.08371185910630351]
00001;[31, '00522', 0.0829353175936268]
00001;[32, '00302', 0.07588168189763629]
00001;[33, '00027', 0.07519213589352883]
00001;[34, '00151', 0.0750510439116578]
00001;[35, '00246', 0.07299241590242642]
00001;[36, '00265', 0.0722434319871766]
00001;[37, '00990', 0.0699990858195412]
00001;[38, '00875', 0.06793404591012234]
00001;[39, '00439', 0.06673711402370298]
00001;[40, '00636', 0.06616835322410801]
00001;[41, '00096', 0.06530340198250391]
00001;[42, '00463', 0.06461726493470801]
00001;[43, '01193', 0.0640958964374992]
00001;[44, '00481', 0.06320497985798497]
00001;[45, '01180', 0.06287530511640622]
00001;[46, '00311', 0.06128976086575782]
00001;[47, '00352', 0.059637695614923616]
00001;[48, '00568', 0.057479762285865287]
00001;[49, '01102', 0.0571161221177304]
00001;[50, '00730', 0.056263432290204494]
00001;[51, '00582', 0.05580899809946037]
00001;[52, '00277', 0.05565654102408389]
00001;[53, '00510', 0.05539946075605516]
00001;[54, '00520', 0.05443988700598915]
00001;[55, '00330', 0.054075356545331466]
00001;[56, '00914', 0.05325730929389514]
00001;[57, '00266', 0.05276089246828041]
00001;[58, '00398', 0.052672209797249854]
00001;[59, '00850', 0.05234747289872187]
00001;[60, '00531', 0.05220650774411917]
00001;[61, '00980', 0.05211608200544184]
00001;[62, '00742', 0.05128540389161162]
00001;[63, '00154', 0.049467661228776105]
00001;[64, '00189', 0.04945767101174208]
00001;[65, '00435', 0.04888769149304782]
00001;[66, '01167', 0.04815625982912663]
00001;[67, '00171', 0.04800260900209169]
00001;[68, '00592', 0.04752463449677552]
00001;[69, '00734', 0.04744840374413298]
00001;[70, '00753', 0.0470143888577505]
00001;[71, '00043', 0.04533678255680996]
00001;[72, '01201', 0.04502141836022585]
00001;[73, '00147', 0.04456894876345159]
00001;[74, '00563', 0.04455639441864011]
00001;[75, '00067', 0.044188095638680126]
00001;[76, '00499', 0.04389814153464962]
00001;[77, '00823', 0.043251539483656676]
00001;[78, '00239', 0.04322888329670698]
00001;[79, '00943', 0.04268199907631082]
00001;[80, '00555', 0.04260392842802861]
00001;[81, '01227', 0.042426712323259085]
00001;[82, '01185', 0.04165489190793253]
00001;[83, '00502', 0.04144389393117805]
00001;[84, '01238', 0.0414360837135607]
00001;[85, '00430', 0.041224859174962256]
00001;[86, '00950', 0.04105504101401483]
00001;[87, '00270', 0.04079156887512776]
00001;[88, '00854', 0.040611286224650434]
00001;[89, '00444', 0.04055258420560135]
00001;[90, '00701', 0.03976499256888309]
00001;[91, '00478', 0.03965513920408796]
00001;[92, '00548', 0.03952912981738454]
00001;[93, '00945', 0.039525617399296956]
00001;[94, '01078', 0.03890744522183748]
00001;[95, '01234', 0.03888272207230114]
00001;[96, '00617', 0.03868049572704042]
00001;[97, '00497', 0.038377834527272996]
00001;[98, '00596', 0.03709570080430911]
00001;[99, '01092', 0.036950932122430134]
00001;[100, '00166', 0.0365788203528378]
00001;[101, '00501', 0.03641620484511239]
00001;[102, '00316', 0.03641439935993618]
00001;[103, '00133', 0.03629797872734556]
00001;[104, '00303', 0.03552402232223381]
00001;[105, '00440', 0.03546670309787749]
00001;[106, '00564', 0.03524104240953438]
00001;[107, '01145', 0.03461767059493981]
00001;[108, '00511', 0.033413052097163214]
00001;[109, '00417', 0.033253455187727925]
00001;[110, '00503', 0.03319572699461596]
00001;[111, '00333', 0.03312344350707321]
00001;[112, '00085', 0.032281620518113334]
00001;[113, '01215', 0.03147373797273071]
00001;[114, '00567', 0.029899573953334427]
00001;[115, '00011', 0.029797262006562186]
00001;[116, '00179', 0.029405515983637623]
00001;[117, '00909', 0.02859609141450495]
00001;[118, '00876', 0.028406642451207848]
00001;[119, '00844', 0.028032308094188118]
00001;[120, '00810', 0.02788609585131114]
00001;[121, '01059', 0.027840594653887437]
00001;[122, '01071', 0.02759249000316665]
00001;[123, '00958', 0.027474154460329345]
00001;[124, '00532', 0.027458852544790947]
00001;[125, '01090', 0.027377585006912827]
00001;[126, '01029', 0.027308032616393006]
00001;[127, '00802', 0.0263334389061122]
00001;[128, '00550', 0.02598413889827747]
00001;[129, '01009', 0.025366367889228802]
00001;[130, '00698', 0.025124443065480912]
00001;[131, '01202', 0.025106201727996522]
00001;[132, '00318', 0.02501438839465365]
00001;[133, '01168', 0.024940334380836867]
00001;[134, '00225', 0.024775128787810755]
00001;[135, '00159', 0.024590775326412462]
00001;[136, '00805', 0.02455637257629634]
00001;[137, '00658', 0.024073873694970282]
00001;[138, '00543', 0.024023775139145772]
00001;[139, '00263', 0.023957148119847824]
00001;[140, '01076', 0.023813646574361528]
00001;[141, '00296', 0.023643421692489956]
00001;[142, '00208', 0.023637509467850388]
00001;[143, '00347', 0.023476928985451888]
00001;[144, '01149', 0.023283202858362075]
00001;[145, '01042', 0.023205353470834307]
00001;[146, '00776', 0.023159681684446876]
00001;[147, '00838', 0.023077845990496833]
00001;[148, '00122', 0.02306133772195634]
00001;[149, '01035', 0.02280263876385843]
00001;[150, '00458', 0.02274617787803898]
00001;[151, '00137', 0.021898394011071354]
00001;[152, '00457', 0.021483760251775036]
00001;[153, '00028', 0.021420817952112585]
00001;[154, '00673', 0.021101194738710916]
00001;[155, '00062', 0.020958775290922244]
00001;[156, '01163', 0.02082137961641381]
00001;[157, '01012', 0.02080205138098288]
00001;[158, '00867', 0.020717475390973836]
00001;[159, '00373', 0.020606676679902024]
00001;[160, '00546', 0.02052001262130279]
00001;[161, '01171', 0.020119470148872352]
00001;[162, '00767', 0.020093523195070438]
00001;[163, '01224', 0.020072764129813073]
00001;[164, '00157', 0.020054680389692603]
00001;[165, '00047', 0.019699941492804286]
00001;[166, '00199', 0.019534738457612513]
00001;[167, '00999', 0.019503186856863218]
00001;[168, '01066', 0.019438757103271125]
00001;[169, '00400', 0.019153189221229102]
00001;[170, '01112', 0.019107223956818957]
00001;[171, '00107', 0.019060189480255358]
00001;[172, '01120', 0.01904333643550524]
00001;[173, '00288', 0.018986743262903356]
00001;[174, '00970', 0.018891571267270833]
00001;[175, '00629', 0.01885091048069625]
00001;[176, '00450', 0.0187552307719013]
00001;[177, '00969', 0.018528738123356703]
00001;[178, '00710', 0.0183169854821506]
00001;[179, '00307', 0.018208943399209095]
00001;[180, '00324', 0.01793062653266707]
00001;[181, '00676', 0.017926628048059508]
00001;[182, '00321', 0.01789366393868814]
00001;[183, '00606', 0.017867980073238095]
00001;[184, '00733', 0.017780040134572128]
00001;[185, '00523', 0.017728076828074625]
00001;[186, '00201', 0.017642829568904915]
00001;[187, '00959', 0.01694242333334902]
00001;[188, '00851', 0.01681421521496533]
00001;[189, '01206', 0.016721789700822068]
00001;[190, '00976', 0.01662034437988109]
00001;[191, '00765', 0.016611660636611486]
00001;[192, '00747', 0.016365847091196543]
00001;[193, '01152', 0.01633775384942937]
00001;[194, '00918', 0.016266553877899336]
